SITZUNGSDAUERLAUF -- samsung SM-A156B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 173
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  176  185    18     7232     22919    167412   30      3160    2       ja
  177  185    18     7400     22920    167408   29      3157    2       ja
  178  185    18     7584     22928    167644   26      3161    2       ja
  179  185    18     7784     22919    167588   27      3154    1       ja
  180  185    18     8016     22953    167820   47      3148    1       ja
  181  185    18     8216     22960    167816   25      3154    1       ja
  182  185    18     8400     22962    167996   26      3135    2       ja
  183  185    18     8601     22963    168000   21      3158    2       ja
  184  185    18     8737     22963    167996   22      3161    2       ja
  185  185    18     8921     22965    168488   26      3150    2       ja
  186  185    18     9153     22976    168484   32      3163    1       ja
  187  185    18     9289     22980    168716   29      3156    1       ja
  188  185    18     9473     22984    168712   31      3146    1       ja
  189  185    18     9673     22987    168944   27      3147    1       ja
  190  185    18     9873     23105    169084   59      3140    0       ja
  191  185    18     10009    23106    169248   20      3112    1       ja
  192  185    18     10225    23110    169268   29      3156    1       ja
  193  185    18     10393    23110    164512   31      3152    1       ja
  194  185    18     10530    23111    164744   28      3137    0       ja
  195  185    18     10746    23107    164740   25      3158    2       ja
  196  185    18     5039     22775    161364   34      3148    2       ja
  197  185    18     5207     22784    161360   31      3149    2       ja
  198  185    19     5439     22870    161596   34      3149    0       ja
  199  185    19     5639     22864    161776   25      3147    2       ja
  200  185    19     5911     22854    162736   52      3154    2       ja
  201  185    19     6095     22861    162732   26      3154    1       ja
  202  185    19     6263     22863    162968   26      3158    1       ja
  203  185    19     6431     22868    162964   27      3164    2       ja
  204  185    19     6615     22868    162960   27      3158    2       ja
  205  185    19     6784     22872    163192   29      3150    1       ja
  206  185    19     6952     22872    163188   27      3157    2       ja
  207  185    19     7136     22875    163312   27      3144    1       ja
  208  185    19     7336     22884    163308   29      3144    2       ja
  209  185    19     7472     22884    163544   30      3148    2       ja
  210  185    19     7744     23101    163600   50      3146    1       ja
  211  185    19     7928     23112    164080   30      3152    2       ja
  212  185    19     8096     23113    164076   28      3160    1       ja
  213  185    19     8264     23113    164308   27      3155    2       ja
  214  185    19     8448     23116    164304   30      3156    2       ja
  215  185    19     8617     23117    164300   29      3153    2       ja
  216  185    19     8785     23112    164532   28      3161    2       ja
  217  185    19     8969     23116    164528   27      3150    1       ja
  218  185    19     9169     23118    164764   35      3150    0       ja
  219  185    19     9305     23122    164760   30      3165    2       ja
  220  185    19     9577     23151    165072   50      3165    0       ja
  221  185    19     9761     23151    165068   31      3149    2       ja
  222  185    19     9929     23156    165300   24      3159    1       ja
  223  185    19     10097    23154    165296   26      3160    1       ja
  224  185    19     10281    23161    165292   32      3145    1       ja
  225  185    19     10450    23159    165524   29      3146    1       ja
  226  185    19     10650    23161    165520   27      3155    2       ja
  227  185    19     10834    23167    165760   27      3142    1       ja
  228  185    19     5087     22840    161768   25      3152    2       ja
  229  185    19     5255     22842    161992   33      3151    2       ja
  230  185    19     5527     22884    162016   49      3153    2       ja
  231  185    19     5695     22880    162252   29      3156    0       ja
  232  185    19     5863     22892    162460   31      3148    0       ja
  233  185    19     6047     22894    162456   30      3158    0       ja
  234  185    19     6247     22898    162688   30      3149    2       ja
  235  185    19     6383     22901    162684   30      3147    0       ja
  236  185    19     6567     22899    162916   26      3157    2       ja
  237  185    19     6832     22907    162912   33      3145    1       ja
  238  185    19     7000     22912    163144   27      3155    1       ja
  239  185    19     7184     22912    163140   22      3154    1       ja
  240  185    19     7456     23063    163728   51      3150    2       ja
  241  185    19     7624     23062    163724   26      3155    2       ja
  242  185    19     7792     23062    163720   28      3162    0       ja
  243  185    19     7976     23068    163952   26      3138    1       ja
  244  185    19     8144     23070    163948   31      3161    1       ja
  245  185    19     8312     23080    164184   29      3147    1       ja
  246  185    19     8496     23087    164180   27      3144    1       ja
  247  185    19     8665     23085    164412   27      3144    1       ja
  248  185    19     8833     23087    164408   32      3153    1       ja
  249  185    19     9049     23080    164636   32      3147    1       ja
  250  185    19     9321     23174    164632   57      3153    1       ja
  251  185    19     9489     23174    164628   24      3148    2       ja
  252  185    19     9657     23176    164780   27      3150    2       ja
  253  185    19     9841     23178    164776   28      3154    1       ja
  254  185    19     10009    23179    165000   24      3141    1       ja
  255  185    19     10177    23181    164996   26      3149    2       ja
  256  185    19     10361    23187    164992   29      3163    2       ja
  257  185    19     10530    23187    165120   29      3158    1       ja
  258  185    19     10698    23193    165376   32      3147    1       ja
  259  185    19     10882    23201    165612   32      3152    2       ja
  260  185    19     5211     23020    161900   55      3148    1       ja
  261  185    19     5411     23024    162292   31      3158    2       ja
  262  185    19     5611     23022    162288   27      3151    1       ja
  263  185    19     5747     23018    162624   30      3143    2       ja
  264  185    19     5931     23023    162620   25      3147    2       ja
  265  185    19     6131     23031    162852   26      3158    1       ja
  266  185    19     6299     23035    162848   25      3144    1       ja
  267  185    19     6515     23035    162844   27      3153    1       ja
  268  185    19     6683     23037    163076   28      3157    2       ja
  269  185    19     6820     23043    163072   26      3160    2       ja
  270  185    19     7092     23061    163308   49      3151    2       ja
  271  185    19     7276     23058    163304   28      3162    1       ja
  272  185    19     7476     23070    163540   23      3154    1       ja
  273  185    19     7612     23073    163536   25      3158    0       ja
  274  185    19     7796     23080    163768   24      3160    1       ja
  275  185    19     7996     23078    163764   31      3151    2       ja
  276  185    19     8132     23079    163996   30      3158    2       ja
  277  185    19     8348     23080    164252   23      3143    0       ja
  278  185    19     8516     23082    164248   22      3155    1       ja
  279  185    19     8653     23086    164480   26      3149    2       ja
  280  185    19     8925     23108    164476   51      3145    2       ja
  281  185    19     9141     23114    164712   31      3157    1       ja
  282  185    19     9341     23115    164708   33      3160    2       ja
  283  185    19     9477     23114    164944   27      3152    2       ja
  284  185    19     9661     23121    164940   33      3156    1       ja
  285  185    19     9861     23121    165168   27      3153    1       ja
  286  185    19     9997     23124    165164   31      3159    1       ja
  287  185    19     10213    23132    165160   29      3144    2       ja
  288  185    19     10381    23141    165392   27      3159    2       ja
  289  185    19     10518    23146    165388   29      3153    1       ja
  290  185    19     10758    23291    166000   47      3143    2       ja
  291  185    19     10942    23469    166020   27      3151    2       ja
  292  185    19     5191     23134    162184   29      3157    2       ja
  293  185    19     5359     23145    162176   37      3156    2       ja
  294  185    19     5559     23144    162404   28      3138    1       ja
  295  185    19     5727     23146    162400   30      3160    2       ja
  296  185    19     5911     23154    162396   28      3155    1       ja
  297  185    19     6079     23158    162628   29      3154    2       ja
  298  185    19     6247     23156    162624   32      3154    2       ja
  299  185    19     6431     23163    162860   30      3151    2       ja
  300  185    19     6703     23234    163084   49      3147    2       ja

ZEIGERARTEN ÜBER DEN LAUF
  Art                      Sitz. 1  Mitte    Ende     Einordnung
  Binder                   3        3        3        unverändert
  Datei in /system         11       11       11       unverändert
  Ereigniszähler           11       11       11       unverändert
  Gerät mali0              1        1        1        unverändert
  Gerät null               11       10       10       unverändert
  Gerät pmsg0              1        1        1        unverändert
  Gerät urandom            1        1        1        unverändert
  Grafikpuffer             6        6        6        unverändert
  Programmpaket            21       21       21       unverändert
  Rohr                     2        2        2        unverändert
  Steckdose                14       14       14       unverändert
  geteilter Speicher       12       12       12       unverändert
  namenlos [eventpoll]     5        5        5        unverändert
  namenlos [userfaultfd]   1        1        1        unverändert
  namenlos gralloc_extra   6        6        6        unverändert
  namenlos malitl_10581_0xb4000079d7623f50 1        1        1        unverändert
  namenlos malitl_10581_0xb4000079d7689e00 1        1        1        unverändert
  namenlos malitl_10581_0xb4000079d77d9508 1        1        1        unverändert
  namenlos sync_file       13       26       26       einmalig beim Aufbau
  sonstiges                51       51       51       unverändert

ZEIGER NACH ART -- Unterschied zwischen Sitzung 1 und 300
  namenlos sync_file       +13
  Gerät null               -1

  Bestand am Ende:
    sonstiges                51
      /sys/kernel/tracing/trace_marker
      /apex/com.android.art/javalib/core-oj.jar
      /apex/com.android.art/javalib/core-libart.jar
      /apex/com.android.art/javalib/okhttp.jar
      /apex/com.android.art/javalib/bouncycastle.jar
    namenlos sync_file       26
      anon_inode:sync_file
    Programmpaket            21
    Steckdose                14
    geteilter Speicher       12
    Datei in /system         11
    Ereigniszähler           11
    Gerät null               10
    namenlos gralloc_extra   6
      anon_inode:gralloc_extra
    Grafikpuffer             6
    namenlos [eventpoll]     5
      anon_inode:[eventpoll]
    Binder                   3
    Rohr                     2
    Gerät pmsg0              1
    Gerät urandom            1
    namenlos [userfaultfd]   1
      anon_inode:[userfaultfd]
    Gerät mali0              1
    namenlos malitl_10581_0xb4000079d7623f50 1
      anon_inode:malitl_10581_0xb4000079d7623f50
    namenlos malitl_10581_0xb4000079d77d9508 1
      anon_inode:malitl_10581_0xb4000079d77d9508
    namenlos malitl_10581_0xb4000079d7689e00 1
      anon_inode:malitl_10581_0xb4000079d7689e00

URTEIL
  Sitzungen ohne Text: 0 von 300
  Dateizeiger:   Mitte 185, Ende 185, Zuwachs 0 (0,00 je Sitzung) -- kein Wachstum
  Fäden:         Mitte 18, Ende 19, Zuwachs 1 (0,01 je Sitzung) -- Plateau erreicht

  Speicher -- beurteilt am Boden nach der Bereinigung, nicht am Mittel:
  Java-Halde:    Boden steigt mit schrumpfenden Zuwächsen (4607 -> 4999 -> 5087, Zuwächse 392, 88) -- pendelt sich ein
  native Halde:  Boden steigt mit schrumpfenden Zuwächsen (22574 -> 22775 -> 22840, Zuwächse 201, 65) -- pendelt sich ein
  RSS:           Boden bleibt liegen (163564 -> 161360 -> 161768) -- kein Leck

  Wird es langsamer? Ein Ressourcenstau zeigt sich oft zuerst so.
  Startlatenz:   Mitte 31, Ende 31, Zuwachs 0 (0,00 je Sitzung) -- kein Wachstum
  Sitzungsdauer: Mitte 3155, Ende 3152, Zuwachs -2 (-0,02 je Sitzung) -- kein Wachstum
  Aufräumdauer:  Mitte 1, Ende 1, Zuwachs 0 (0,00 je Sitzung) -- Plateau erreicht
