SITZUNGSDAUERLAUF -- samsung SM-S918B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 149
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  212  162    14     16950    14572    109208   12      3061    0       ja
  213  162    14     17158    14573    109032   17      3062    1       ja
  214  162    14     17294    14576    109028   15      3067    1       ja
  215  162    14     17462    14575    109256   14      3092    1       ja
  216  162    14     17638    14579    109496   15      3058    0       ja
  217  162    14     17774    14579    109724   13      3058    2       ja
  218  162    14     17950    14581    109720   12      3067    0       ja
  219  162    14     18118    14583    109716   13      3069    1       ja
  220  162    14     18382    14643    109944   24      3068    1       ja
  221  162    14     18527    14647    109940   13      3072    1       ja
  222  162    14     18695    14649    110172   14      3079    1       ja
  223  162    14     18871    14646    110168   17      3080    1       ja
  224  162    14     19007    14651    110164   12      3058    1       ja
  225  162    14     19207    14658    110392   14      3071    1       ja
  226  162    14     19351    14662    110616   12      3074    0       ja
  227  162    14     19487    14664    110848   12      3073    1       ja
  228  162    14     19695    14669    110844   12      3079    1       ja
  229  162    14     19831    14671    110840   13      3069    0       ja
  230  162    14     20095    14685    111076   22      3063    1       ja
  231  162    14     20272    14684    111320   14      3070    1       ja
  232  162    14     20408    14685    111556   13      3058    0       ja
  233  162    14     20616    14688    111552   14      3081    1       ja
  234  162    14     20784    14692    111780   12      3067    1       ja
  235  162    14     20952    14695    111776   12      3076    1       ja
  236  162    14     21096    14699    111772   12      3073    0       ja
  237  162    14     21264    14704    112004   13      3066    1       ja
  238  162    14     21472    14708    112000   12      3077    0       ja
  239  162    14     21608    14714    112236   12      3067    1       ja
  240  162    14     21872    14706    112312   23      3065    0       ja
  241  162    14     22017    14714    112540   14      3062    1       ja
  242  162    14     22153    14715    112536   17      3069    1       ja
  243  162    14     22361    14710    112768   19      3066    1       ja
  244  162    14     22497    14714    112764   18      3055    1       ja
  245  162    14     22665    14720    112760   13      3077    0       ja
  246  162    14     22841    14718    112992   12      3073    0       ja
  247  162    14     23009    14723    112988   15      3078    1       ja
  248  162    14     23185    14723    113216   13      3073    1       ja
  249  162    14     23353    14730    113212   11      3066    1       ja
  250  162    14     23585    14729    113464   25      3063    1       ja
  251  162    14     23730    14727    113696   11      3064    1       ja
  252  162    14     23898    14731    113692   13      3071    1       ja
  253  162    14     24074    14731    113920   8       3077    1       ja
  254  162    14     24210    14739    113916   14      3063    1       ja
  255  162    14     24410    14742    113908   11      3064    1       ja
  256  162    14     24586    14746    114140   14      3072    1       ja
  257  162    14     24754    14747    114136   13      3082    1       ja
  258  162    14     24962    14749    114368   15      3069    1       ja
  259  162    14     25098    14747    114364   20      3069    1       ja
  260  162    14     25330    14846    114568   19      3054    0       ja
  261  162    14     25507    14847    114792   12      3078    0       ja
  262  162    14     25643    14856    114788   12      3068    0       ja
  263  162    14     25819    14852    115024   14      3067    0       ja
  264  162    14     25987    14862    115020   15      3074    0       ja
  265  162    14     26155    14865    115500   12      3076    1       ja
  266  162    14     26299    14869    115496   16      3078    1       ja
  267  162    14     26467    14875    115480   14      3062    1       ja
  268  162    14     26643    14877    115712   16      3078    0       ja
  269  162    14     26779    14878    115708   12      3054    1       ja
  270  162    14     27075    14932    116180   27      3073    1       ja
  271  162    14     27220    14932    116148   8       3061    1       ja
  272  162    14     27356    14935    116096   14      3075    1       ja
  273  162    14     27564    14942    116224   12      3071    1       ja
  274  162    14     27700    14942    116220   15      3075    0       ja
  275  162    14     27868    14942    116448   14      3067    1       ja
  276  162    14     28044    14947    116444   12      3059    0       ja
  277  162    14     28180    14953    116676   23      3078    1       ja
  278  162    14     28388    14958    116672   12      3066    1       ja
  279  162    14     28556    14962    116668   11      3049    1       ja
  280  162    14     28788    15003    117396   35      3060    1       ja
  281  162    14     28932    15004    117328   12      3072    1       ja
  282  162    14     5391     13611    102272   9       3061    1       ja
  283  162    14     5559     13610    102244   13      3059    1       ja
  284  162    14     5703     13618    102476   12      3081    1       ja
  285  162    14     5871     13620    102472   15      3085    1       ja
  286  162    14     6047     13625    102468   14      3089    1       ja
  287  162    14     6215     13625    102696   15      3068    1       ja
  288  162    14     6384     13633    102688   15      3065    1       ja
  289  162    14     6528     13635    102912   14      3063    1       ja
  290  162    14     6696     13757    103144   23      3070    1       ja
  291  162    14     6904     13759    103116   14      3073    0       ja
  292  162    14     7040     13762    103344   13      3065    1       ja
  293  162    14     7240     13762    103336   16      3074    1       ja
  294  162    14     7416     13767    103572   14      3053    1       ja
  295  162    14     7552     13769    103568   15      3084    1       ja
  296  162    14     7728     13771    103792   11      3066    1       ja
  297  162    14     7896     13781    103776   13      3053    1       ja
  298  162    14     8065     13781    103764   12      3073    1       ja
  299  162    14     8241     13784    103996   17      3068    1       ja
  300  162    14     8409     13866    103992   18      3058    0       ja

ZEIGERARTEN ÜBER DEN LAUF
  Art                      Sitz. 1  Mitte    Ende     Einordnung
  Binder                   3        3        3        unverändert
  Datei in /system         17       17       17       unverändert
  Ereigniszähler           7        7        7        unverändert
  Gerät kgsl-3d0           1        1        1        unverändert
  Gerät null               11       10       10       unverändert
  Gerät pmsg0              1        1        1        unverändert
  Gerät urandom            1        1        1        unverändert
  Grafikpuffer             8        8        8        unverändert
  Programmpaket            19       19       19       unverändert
  Rohr                     2        2        2        unverändert
  Steckdose                12       12       12       unverändert
  geteilter Speicher       7        7        7        unverändert
  namenlos [eventpoll]     4        4        4        unverändert
  namenlos [userfaultfd]   1        1        1        unverändert
  namenlos sync_file       13       27       27       einmalig beim Aufbau
  sonstiges                42       42       42       unverändert

ZEIGER NACH ART -- Unterschied zwischen Sitzung 1 und 300
  namenlos sync_file       +14
  Gerät null               -1

  Bestand am Ende:
    sonstiges                42
      /sys/kernel/tracing/trace_marker
      /apex/com.android.art/javalib/core-oj.jar
      /apex/com.android.art/javalib/core-libart.jar
      /apex/com.android.art/javalib/okhttp.jar
      /apex/com.android.art/javalib/bouncycastle.jar
    namenlos sync_file       27
      anon_inode:sync_file
    Programmpaket            19
    Datei in /system         17
    Steckdose                12
    Gerät null               10
    Grafikpuffer             8
    Ereigniszähler           7
    geteilter Speicher       7
    namenlos [eventpoll]     4
      anon_inode:[eventpoll]
    Binder                   3
    Rohr                     2
    Gerät pmsg0              1
    Gerät urandom            1
    namenlos [userfaultfd]   1
      anon_inode:[userfaultfd]
    Gerät kgsl-3d0           1

URTEIL
  Sitzungen ohne Text: 0 von 300
  Dateizeiger:   Mitte 162, Ende 162, Zuwachs 0 (0,00 je Sitzung) -- kein Wachstum
  Java-Halde:    Mitte 15392, Ende 19576, Zuwachs 4185 (27,90 je Sitzung) -- **WÄCHST WEITER**
  native Halde:  Mitte 14413, Ende 14475, Zuwachs 61 (0,41 je Sitzung) -- **WÄCHST WEITER**
  RSS:           Mitte 111057, Ende 111093, Zuwachs 37 (0,24 je Sitzung) -- **WÄCHST WEITER**
  Fäden:         Mitte 14, Ende 14, Zuwachs 0 (0,00 je Sitzung) -- kein Wachstum

  Wird es langsamer? Ein Ressourcenstau zeigt sich oft zuerst so.
  Startlatenz:   Mitte 14, Ende 15, Zuwachs 1 (0,01 je Sitzung) -- Plateau erreicht
  Sitzungsdauer: Mitte 3067, Ende 3069, Zuwachs 2 (0,01 je Sitzung) -- Plateau erreicht
  Aufräumdauer:  Mitte 1, Ende 1, Zuwachs 0 (0,00 je Sitzung) -- Plateau erreicht
